video,peak_id,frame_idx,timestamp_sec,total_score,image_path,json_path,raised_leg,raised_height,foot_height_diff,arabesque_angle,torso_tilt,raised_knee_angle,support_knee_angle,dist_highest_wrist_ank,l_elbow_angle,r_elbow_angle,highest_arm_vertical_angle,max_arm_forward,is_behind_body,back_extension,is_jumping,pelvic_anterior_tilt,lumbar_arch,split_angle,support_leg_plumb,shoulder_hip_torsion,arm_symmetry,pelvic_tilt_angle,valid_img_name,source_edition,filename,surname,name,full_name,possible_gender,real_gender,year,edition,dancer_id,countries,perf_type,awards,has_award,performance,thumbnail_frame,res,frame_count,performance_translated,has_thumbnail,filepath_thumbnail,credits,decade,continent,perf_type_clean,filename_base,perf_clean,thoracic_neck_angle,support_torso_angle
edition10_sequence_0.mp4,15,2285,91.4,0.691,True,results/edition10/frames/skeletons/edition10_sequence_0.mp4_peak_15_data.json,Right,0.1300276003461889,1.3457116870631016,96.12103651729002,9.747662802565737,162.5478074354613,173.78767866379116,2.148996293353786,141.42823107022306,119.6235681666692,15.068305018335618,0.0376148547439608,True,0.9214311270355464,False,13.262004366244668,36.73694732762957,93.15836788511976,3.338601777143671,26.973585404857083,0.5165300254282291,20.3663455335321,edition10_sequence_0.mp4_peak_15_frame_2285_score_0.69.jpg,edition10,edition10/edition10_sequence_0.mp4,Ch¨¦rittwizer,Val¨¦rie,Ch¨¦rittwizer Val¨¦rie,female,F,1982,10th,1982-014,France,classical,,0,The Nutcracker - Sugar Plum Fairy,,,,The Nutcracker - Sugar Plum Fairy,1.0,,,1980,Europe,classical,edition10_sequence_0.mp4,The Nutcracker - Sugar Plum Fairy,84.08695684741652,168.11087000137894
edition10_sequence_0.mp4,16,2492,99.68,0.653,True,results/edition10/frames/skeletons/edition10_sequence_0.mp4_peak_16_data.json,Right,-0.104077989388489,1.1339006864926178,107.63769102720718,9.711216123419431,168.33664832599345,170.32953698798974,2.513710501568973,145.46583130192025,138.4116194958234,34.7855580307148,0.2471830128987281,True,0.865841229740421,False,10.997872212799818,27.983049800735355,84.964242833618,5.059810591122819,28.22903474584074,0.4798178954156346,17.103735084859125,edition10_sequence_0.mp4_peak_16_frame_2492_score_0.65.jpg,edition10,edition10/edition10_sequence_0.mp4,Ch¨¦rittwizer,Val¨¦rie,Ch¨¦rittwizer Val¨¦rie,female,F,1982,10th,1982-014,France,classical,,0,The Nutcracker - Sugar Plum Fairy,,,,The Nutcracker - Sugar Plum Fairy,1.0,,,1980,Europe,classical,edition10_sequence_0.mp4,The Nutcracker - Sugar Plum Fairy,83.74517417998507,165.9029387927611
edition10_sequence_0.mp4,17,2705,108.2,0.622,True,results/edition10/frames/skeletons/edition10_sequence_0.mp4_peak_17_data.json,Right,-0.0803078724948489,1.1768418765451172,102.21254574165326,8.231997289196872,162.53158886502996,171.72483462039207,2.355092035467673,141.6255404158008,139.1279646455362,20.04652611522706,0.0784305075539382,True,0.883058267364793,False,7.987881285073528,32.59199509300249,83.03237590690121,3.388808676962518,26.464608241862127,0.535142332499102,15.620642625161208,edition10_sequence_0.mp4_peak_17_frame_2705_score_0.62.jpg,edition10,edition10/edition10_sequence_0.mp4,Ch¨¦rittwizer,Val¨¦rie,Ch¨¦rittwizer Val¨¦rie,female,F,1982,10th,1982-014,France,classical,,0,The Nutcracker - Sugar Plum Fairy,,,,The Nutcracker - Sugar Plum Fairy,1.0,,,1980,Europe,classical,edition10_sequence_0.mp4,The Nutcracker - Sugar Plum Fairy,73.59998292026215,169.17630291838216
edition10_sequence_2.mp4,0,687,27.48,0.73,True,results/edition10/frames/skeletons/edition10_sequence_2.mp4_peak_0_data.json,Left,0.0356127429276571,1.3395858264290652,98.4232435784582,7.895892000820545,160.06068379826615,166.62132485518586,2.1790154661609904,170.84354566923727,136.75075741332046,28.63594631400881,0.1920035310025555,True,1.1544939997719794,False,7.928153447788756,19.57351869004016,81.71305749664981,7.591031873051411,38.38904321246677,0.5187738161741096,15.530226532443985,edition10_sequence_2.mp4_peak_0_frame_687_score_0.73.jpg,edition10,edition10/edition10_sequence_2.mp4,Hall¨¦,Muriel,Hall¨¦ Muriel,female,F,1982,10th,1982-036,France,classical,"Prix d'encouragement offert par la Fondation de la Danse, Paris",1,Le Corsaire,,,,Le Corsaire,1.0,,,1980,Europe,classical,edition10_sequence_2.mp4,"Don Quichotte (le Corsaire), Girls variation",88.81510335634928,177.6358319016148
edition10_sequence_2.mp4,3,942,37.68,0.678,True,results/edition10/frames/skeletons/edition10_sequence_2.mp4_peak_3_data.json,Left,-0.0500156986336961,1.2574528973974586,104.32115533925555,9.254593276238804,155.70685569127687,167.88219133594856,2.299145625265968,163.9731547997144,146.350792540887,30.75756701967064,0.1887588820642285,True,1.1335049115227571,False,7.768525493521866,20.3778594169697,80.33397797869239,5.122011607045891,31.853461005478646,0.6871166567670166,16.477612897973895,edition10_sequence_2.mp4_peak_3_frame_942_score_0.68.jpg,edition10,edition10/edition10_sequence_2.mp4,Hall¨¦,Muriel,Hall¨¦ Muriel,female,F,1982,10th,1982-036,France,classical,"Prix d'encouragement offert par la Fondation de la Danse, Paris",1,Le Corsaire,,,,Le Corsaire,1.0,,,1980,Europe,classical,edition10_sequence_2.mp4,"Don Quichotte (le Corsaire), Girls variation",90.01508028327085,174.7000642805366
edition10_sequence_3.mp4,0,103,4.12,0.69,True,results/edition10/frames/skeletons/edition10_sequence_3.mp4_peak_0_data.json,Left,0.0237553907890594,1.207508363071771,107.75312680154032,14.913279275702704,113.62014202823066,175.13894571138275,1.8725721114360387,156.11553272651653,143.15002927760682,35.79087877709712,0.1953928298799094,True,0.5314758290926251,False,16.660342673874922,17.03024926759192,86.91975400195837,0.2842439665357412,43.16083257798356,0.3747527667431982,22.044827066966768,edition10_sequence_3.mp4_peak_0_frame_103_score_0.69.jpg,edition10,edition10/edition10_sequence_3.mp4,Marache,Sandrine,Marache Sandrine,female,F,1982,10th,1982-007,France,classical,Bourse d'une ann¨¦e d'enseignement (Prix de Lausanne),1,Coppelia - Act I,,,,Coppelia - Act I,1.0,,,1980,Europe,classical,edition10_sequence_3.mp4,"Coppelia - Act 1, Girl variation",71.95277257260706,165.20366963460194
edition10_sequence_3.mp4,3,382,15.28,1.0,True,results/edition10/frames/skeletons/edition10_sequence_3.mp4_peak_3_data.json,Right,0.6726420895772773,1.514623001316975,79.74931468410013,19.38830057399085,155.81941644771126,123.76182313114958,2.0067936253070275,170.84227078791773,99.30965780952076,37.23097089024765,0.3939697145056945,True,0.9702729668384962,False,22.27104118446335,5.335340881928321,116.34996787737002,16.689018475769256,29.62645498554864,0.1428511079954622,28.54167157730252,edition10_sequence_3.mp4_peak_3_frame_382_score_1.00.jpg,edition10,edition10/edition10_sequence_3.mp4,Marache,Sandrine,Marache Sandrine,female,F,1982,10th,1982-007,France,classical,Bourse d'une ann¨¦e d'enseignement (Prix de Lausanne),1,Coppelia - Act I,,,,Coppelia - Act I,1.0,,,1980,Europe,classical,edition10_sequence_3.mp4,"Coppelia - Act 1, Girl variation",31.8423933272299,158.3082703546808
edition10_sequence_4.mp4,4,1432,57.28,1.0,True,results/edition10/frames/skeletons/edition10_sequence_4.mp4_peak_4_data.json,Right,0.3839793607259465,1.6362779525952067,89.70619934678375,14.810637339991624,167.63684012174403,165.71984682425295,2.136133713506549,140.16257480747606,106.76749166082996,44.16515171433111,0.2231014320498994,True,1.054128329808825,False,17.416862441275562,39.96120322378472,105.05430305497356,6.305079078133976,20.38929237835444,0.7685314172959865,24.529233486473803,edition10_sequence_4.mp4_peak_4_frame_1432_score_1.00.jpg,edition10,edition10/edition10_sequence_4.mp4,Volf,Katalin,Volf Katalin,female,F,1982,10th,1982-034,Hungary,classical,Prix de la Fondation Johnson,1,Le Corsaire,,,,Le Corsaire,1.0,,,1980,Europe,classical,edition10_sequence_4.mp4,"Don Quichotte (le Corsaire), Girls variation",93.72559309170644,162.3234117276011
edition10_sequence_4.mp4,5,1539,61.56,0.998,True,results/edition10/frames/skeletons/edition10_sequence_4.mp4_peak_5_data.json,Left,0.4310061607235516,1.6685620754713997,87.30752539984393,17.48870818430172,164.62391267278463,168.65605164693494,1.8695275869340229,129.5041879098075,144.94729103265647,25.6854307208675,0.1963920042050546,True,0.9721773901783636,False,18.45314940458581,27.043059611960825,105.9762154243365,4.636691246662795,57.26992735041077,0.7675765693019294,22.11606565036646,edition10_sequence_4.mp4_peak_5_frame_1539_score_1.00.jpg,edition10,edition10/edition10_sequence_4.mp4,Volf,Katalin,Volf Katalin,female,F,1982,10th,1982-034,Hungary,classical,Prix de la Fondation Johnson,1,Le Corsaire,,,,Le Corsaire,1.0,,,1980,Europe,classical,edition10_sequence_4.mp4,"Don Quichotte (le Corsaire), Girls variation",88.89548024425794,166.32129279305263
edition10_sequence_6.mp4,3,792,31.68,1.0,True,results/edition10/frames/skeletons/edition10_sequence_6.mp4_peak_3_data.json,Left,0.536410548189123,1.7616757280216069,68.21202565232484,11.216154324811782,154.45423537237542,173.48799903294417,1.8145657296672857,161.1543329240055,154.0690367194077,38.86199155718601,0.3859709403559288,True,0.8469666165941769,False,11.90145567667155,7.6841435091660975,113.91451469032638,8.899807779643822,73.92514641160899,0.5574840362771881,12.2467180582773,edition10_sequence_6.mp4_peak_3_frame_792_score_1.00.jpg,edition10,edition10/edition10_sequence_6.mp4,Moore,Bonnie,Moore Bonnie,female,F,1982,10th,1982-011,USA,classical,Prix de la Fondation Johnson,1,Sleeping Beauty - Act III,,,,Sleeping Beauty - Act III,1.0,,,1980,North America,classical,edition10_sequence_6.mp4,Sleeping Beauty - Act 3,46.70607235098585,177.5879199135007
